experiment,accuracy,macro_f1,weighted_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,accuracy_0,accuracy_1,accuracy_2,accuracy_3
FULL_KNN_pca9_K11_dist,0.6369444444444444,0.5315914637429464,0.6115753492292303,0.6206896551724138,0.39267015706806285,0.48102618920363444,0.6696072253728208,0.869375511317153,0.7565258661604176,0.5447019867549668,0.5061538461538462,0.5247208931419458,0.5731225296442688,0.2667893284268629,0.36409290646578785,0.8651388888888889,0.715,0.8344444444444444,0.8593055555555555
FULL_ET_800_depthNone,0.58875,0.5263098595778338,0.5951187092837494,0.43889264010803514,0.5671902268760908,0.4948610582413399,0.7699907378820624,0.6801199890919007,0.7222704894294816,0.4597544338335607,0.5184615384615384,0.48734634851771513,0.4151873767258383,0.3873045078196872,0.4007615421227987,0.8156944444444445,0.7336111111111111,0.8030555555555555,0.8251388888888889
FULL_KNN_pca9_K5_dist,0.6155555555555555,0.5190837890824199,0.5982302331564953,0.564958283671037,0.41361256544502617,0.47758186397984886,0.678635953026197,0.8194709571857104,0.7424336009882644,0.510808646917534,0.4907692307692308,0.5005884660651235,0.4605263157894737,0.28978840846366144,0.3557312252964427,0.8559722222222222,0.7104166666666667,0.8231944444444445,0.8415277777777778
FULL_ET_500_depth12,0.57375,0.5116139331634088,0.5804895066452829,0.4323024054982818,0.5488656195462478,0.48366013071895425,0.7579340385812072,0.664303245159531,0.7080366225839267,0.4335297969875573,0.5092307692307693,0.4683409975238769,0.40239043824701193,0.3716651333946642,0.3864179818268771,0.8134722222222223,0.7209722222222222,0.79125,0.8218055555555556
FULL_ET_500_depth12w2,0.5958333333333333,0.4905907239985854,0.5758416250327063,0.6020583190394511,0.306282722513089,0.40601503759398494,0.6609873307121014,0.8251977092991546,0.734020618556701,0.5145145145145145,0.3953846153846154,0.44715093518921273,0.3836538461538462,0.3670653173873045,0.3751763046544429,0.8573611111111111,0.6954166666666667,0.8234722222222223,0.8154166666666667
FULL_KNN_pca5_K21_dist,0.6101388888888889,0.48842839718868153,0.5774424826111634,0.5240793201133145,0.3228621291448517,0.39956803455723544,0.642266586005243,0.8685574038723752,0.7384651054950151,0.5361010830324909,0.45692307692307693,0.49335548172757476,0.5714285714285714,0.22447102115915363,0.32232496697490093,0.8455555555555555,0.6866666666666666,0.8305555555555556,0.8575
FULL_SVM_rbf_pca9_C5,0.55625,0.4880055835657616,0.5612114996888716,0.3743560389238695,0.5706806282722513,0.45212582094711373,0.7456195244055068,0.6498500136351241,0.6944484919131575,0.4408817635270541,0.5076923076923077,0.4719342152306042,0.4052631578947368,0.28334866605335784,0.3335138061721711,0.7798611111111111,0.70875,0.7948611111111111,0.8290277777777778
FULL_KNN_pca5_K5_dist,0.5698611111111112,0.4649071148310882,0.5514084318069631,0.42905405405405406,0.3324607329842932,0.3746312684365782,0.6488135593220339,0.7829288246523043,0.7095897182402373,0.46950710108604843,0.4323076923076923,0.4501401682018422,0.41884057971014493,0.265869365225391,0.325267304445695,0.8233333333333334,0.6736111111111112,0.8093055555555555,0.8334722222222222
FULL_SVM_rbf_pca5_C5,0.5073611111111112,0.44828070660612934,0.5196846557351424,0.3074398249452954,0.49040139616055844,0.37794216543375925,0.7245068538950183,0.5909462776111263,0.6509462300991289,0.41466957153231665,0.43923076923076926,0.4265969368696302,0.351593625498008,0.3247470101195952,0.33763749402199905,0.7430555555555556,0.6772222222222222,0.7868055555555555,0.8076388888888889
FULL_SVM_rbf_pca9_C5_cal,0.5826388888888889,0.4429002956222611,0.5455984800548991,0.47607655502392343,0.3472949389179756,0.40161453077699294,0.6400162337662337,0.8601036269430051,0.7339150668993601,0.45217391304347826,0.36,0.4008565310492505,0.43640897755610975,0.1609935602575897,0.23521505376344087,0.8352777777777778,0.6823611111111111,0.8056944444444445,0.8419444444444445
FULL_SVM_rbf_pca3_C5,0.49069444444444443,0.4298587880899561,0.5000545137513742,0.3121629718394248,0.45462478184991273,0.37015985790408523,0.684887459807074,0.5808562857922007,0.628596724214254,0.3960255500354862,0.42923076923076925,0.4119601328903654,0.3201581027667984,0.2980680772769089,0.3087184373511196,0.75375,0.6504166666666666,0.77875,0.7984722222222222
FULL_SVM_rbf_pca5_C5_cal,0.5448611111111111,0.3699811634592446,0.4850160190985292,0.4909090909090909,0.1649214659685864,0.24689745264532986,0.5792378917378918,0.8871011726206709,0.7008510179898739,0.4065620542082739,0.21923076923076923,0.2848575712143928,0.39357429718875503,0.18031278748850046,0.2473186119873817,0.8398611111111111,0.6143055555555555,0.80125,0.8343055555555555
FULL_LR_pca9_C1_bal,0.38805555555555554,0.35820127559405274,0.40590988787938237,0.28282244071717755,0.42670157068062825,0.34017391304347827,0.646875,0.395145895827652,0.4906043676993398,0.3321256038647343,0.4230769230769231,0.3721244925575101,0.19428571428571428,0.281508739650414,0.2299023290758828,0.7365277777777778,0.5820833333333333,0.7422222222222222,0.7152777777777778
FULL_LR_pca5_C1_bal,0.3672222222222222,0.33893707236098547,0.38652912041842996,0.24835820895522387,0.36300174520069806,0.29493087557603687,0.631578947368421,0.37305699481865284,0.46905537459283386,0.3398576512455516,0.44076923076923075,0.38379102478231747,0.17154811715481172,0.2640294388224471,0.20797101449275363,0.72375,0.5698611111111112,0.7444444444444445,0.6963888888888888
FULL_LR_pca3_C1_bal,0.3634722222222222,0.33854604434871066,0.3833530964272009,0.26497005988023953,0.3089005235602094,0.2852538275584206,0.614098508811568,0.3706026724843196,0.46224489795918366,0.34068786502271253,0.40384615384615385,0.36958817317845827,0.17962085308056872,0.3486660533578657,0.2370972786987801,0.7536111111111111,0.5608333333333333,0.75125,0.66125
FULL_QDA_reg0.1,0.5338888888888889,0.2745760259831154,0.42023766986594613,0.5119047619047619,0.037521815008726006,0.06991869918699187,0.5391383495145631,0.9691846195800382,0.6928550540988401,0.5154639175257731,0.11538461538461539,0.18856065367693275,0.41630901287553645,0.08923643054277829,0.14696969696969697,0.8411111111111111,0.5623611111111111,0.8206944444444444,0.8436111111111111
FULL_LDA,0.52,0.25536533666406547,0.40604131545360567,0.29850746268656714,0.017452006980802792,0.03297609233305853,0.5340402643307207,0.9476411235342241,0.6831138195400039,0.44175824175824174,0.15461538461538463,0.22905982905982905,0.2807017543859649,0.04415823367065318,0.07631160572337042,0.8370833333333333,0.5522222222222222,0.8120833333333334,0.8386111111111111
FULL_LDA_shrinkage_auto,0.5205555555555555,0.25502370854860407,0.4059067013220077,0.3076923076923077,0.017452006980802792,0.03303055326176713,0.5338138322343199,0.9492773384237797,0.6833529642716922,0.4444444444444444,0.15384615384615385,0.22857142857142856,0.2865853658536585,0.04323827046918123,0.07513988808952837,0.8373611111111111,0.5519444444444445,0.8125,0.8393055555555555
FULL_SVM_rbf_pca3_C5_cal,0.5183333333333333,0.2268420617686302,0.38782366491397113,0.0,0.0,0.0,0.5275201914448101,0.9618216525770384,0.6813484014295373,0.39883268482490275,0.1576923076923077,0.22601984564498345,0.0,0.0,0.0,0.8408333333333333,0.5418055555555555,0.805,0.8490277777777778
FULL_GMM_4comp,0.20083333333333334,0.19950207209639909,0.20265695765106873,0.1617580425917535,0.31151832460732987,0.21294363256784968,0.40667196187450355,0.13962367057540223,0.20787657328461226,0.17535816618911174,0.2353846153846154,0.20098522167487684,0.13624937154348918,0.24931002759889603,0.17620286085825748,0.6334722222222222,0.45805555555555555,0.6620833333333334,0.6480555555555556
FULL_GMM_6comp,0.1425,0.10975092448456913,0.17022385835505446,0.171850699844479,0.19284467713787085,0.18174342105263158,0.43386243386243384,0.11180801745295882,0.17779705117085862,0.17600527356624918,0.2053846153846154,0.18956336528221512,0.10215482841181166,0.11775528978840846,0.1094017094017094,0.7236111111111111,0.47333333333333333,0.6829166666666666,0.7105555555555556
