experiment,accuracy,macro_f1,weighted_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,accuracy_0,accuracy_1,accuracy_2,accuracy_3
INLIERS_KNN_pca9_K21_dist,0.7336561743341404,0.6254042262714677,0.71410168428983,0.7922912205567452,0.45962732919254656,0.5817610062893082,0.747796278158668,0.9248940036341611,0.8269699431356621,0.621978021978022,0.5853154084798345,0.6030900372935536,0.7850467289719626,0.3559322033898305,0.4897959183673469,0.9079903147699758,0.7789692148045659,0.8711518505707367,0.9092009685230025
INLIERS_KNN_pca9_K5_dist,0.7168799723279142,0.6182010775547135,0.7051678898235318,0.693069306930693,0.5217391304347826,0.595322466335932,0.765189705492173,0.8734100545124167,0.815726205628624,0.5914760914760915,0.5884177869700103,0.589942975635044,0.6112359550561798,0.384180790960452,0.47181266261925414,0.901245243860256,0.7746454514008994,0.8631961259079903,0.8946731234866828
INLIERS_ET_800_depthNone,0.6796956070563819,0.6138416544775158,0.6897420351462761,0.515625,0.6968944099378882,0.5927099841521395,0.8695175438596491,0.7204724409448819,0.7880092745942365,0.5063795853269537,0.656670113753878,0.5718144979738856,0.5042613636363636,0.501412429378531,0.5028328611898017,0.8666551366309235,0.7786233137322726,0.8355240401245244,0.8785887236250433
INLIERS_ET_500_depth12,0.6748529920442753,0.6084618616504749,0.6848573639702972,0.5109090909090909,0.698136645962733,0.5900262467191602,0.8654478976234004,0.7168382798304058,0.7841643200265033,0.49333333333333335,0.6504653567735263,0.5611061552185549,0.5119047619047619,0.4858757062146893,0.4985507246376812,0.864925631269457,0.7746454514008994,0.8298166724316846,0.8803182289865099
INLIERS_ET_500_depth12w2,0.7047734347976479,0.5972191324481717,0.6900674930586458,0.7580993520518359,0.4360248447204969,0.5536277602523659,0.747379186908719,0.8852210781344639,0.8104810758352974,0.5817972350230415,0.5222337125129266,0.5504087193460491,0.5481481481481482,0.4180790960451977,0.47435897435897434,0.9021099965409892,0.763576617087513,0.8573158076790038,0.8865444482877897
INLIERS_KNN_pca5_K21_dist,0.6937046004842615,0.567007548270074,0.6705664862924576,0.6528066528066528,0.39006211180124223,0.48833592534992226,0.7237163814180929,0.8964264082374318,0.8008658008658008,0.5952109464082098,0.5398138572905895,0.5661605206073753,0.6437125748502994,0.3036723163841808,0.4126679462571977,0.8861985472154964,0.7454168107921134,0.8616395710826703,0.8941542718782428
INLIERS_SVM_rbf_pca9_C5,0.6336907644413697,0.5633438384829677,0.6461823300390034,0.4043795620437956,0.6881987577639752,0.5094252873563219,0.8559190031152648,0.6656571774682011,0.7488926746166951,0.5063091482649842,0.6639089968976215,0.574496644295302,0.46875,0.3813559322033898,0.4205607476635514,0.8154617779315115,0.7450709097198202,0.8355240401245244,0.8713248011068835
INLIERS_KNN_pca5_K5_dist,0.6703562781044621,0.556952590913875,0.6577634923669242,0.5472636815920398,0.40993788819875776,0.46875,0.7395025407863065,0.8373712901271957,0.7853998011646073,0.5613660618996799,0.5439503619441571,0.5525210084033614,0.5069582504970179,0.3601694915254237,0.42113955408753095,0.8706329989622967,0.7386717398823937,0.8526461432030439,0.8787616741611899
INLIERS_SVM_rbf_pca9_C5_cal,0.6649948114839156,0.5221202383174532,0.6432143839575656,0.5073041168658698,0.4745341614906832,0.49037227214377405,0.736047107014849,0.8706844336765597,0.7977247502774695,0.5275689223057645,0.43536711478800416,0.47705382436260624,0.5138461538461538,0.23587570621468926,0.3233301064859632,0.8626772742995503,0.7478381182981667,0.8403666551366309,0.8791075752334833
INLIERS_SVM_rbf_pca5_C5,0.5873400207540643,0.5169754579685042,0.6057243742397432,0.3333333333333333,0.6,0.42857142857142855,0.8311429709279171,0.6320411871592974,0.7180457595045587,0.4776902887139108,0.5646328852119958,0.5175355450236967,0.41237113402061853,0.3954802259887006,0.40374909877433307,0.7772397094430993,0.7165340712556209,0.8239363542026981,0.8569699066067105
INLIERS_SVM_rbf_pca3_C5,0.5349360083016257,0.4714104046587027,0.5538699037192053,0.3086074177746676,0.5478260869565217,0.39480752014324083,0.7791131371736427,0.5693519079345851,0.657917760279965,0.43014394580863674,0.5253360910031024,0.4729981378026071,0.34782608695652173,0.3728813559322034,0.35991820040899797,0.7661708751297129,0.6618817018332757,0.8042199930819786,0.8375994465582843
